,Treatment,true_ite,predicted_ite,diff_ite,yf_true,ycf_true,yf_hat,y_cf_hat,diff_yf
0,1.0,-5.550107479095459,-3.0,2.550107479095459,-3.8915629386901855,1.658544659614563,-3.0,0.0,0.8915629386901855
1,1.0,19.122053146362305,16.0,3.1220531463623047,17.23189926147461,-1.8901546001434326,16.0,0.0,1.2318992614746094
2,1.0,-3.7543046474456787,2.0,5.754304885864258,0.3779962658882141,4.132300853729248,4.0,2.0,3.6220037937164307
3,0.0,18.24934196472168,10.0,8.24934196472168,-3.8000214099884033,14.449320793151855,-1.0,9.0,2.8000214099884033
4,0.0,4.417404651641846,4.0,0.4174046516418457,-4.417128562927246,0.00027614831924438477,-2.0,2.0,2.417128562927246
5,1.0,11.587849617004395,9.0,2.5878496170043945,6.599401473999023,-4.988448143005371,8.0,-1.0,1.4005985260009766
6,1.0,11.215455055236816,6.0,5.215455055236816,9.431234359741211,-1.7842206954956055,5.0,-1.0,4.431234359741211
7,1.0,0.6782932281494141,10.0,9.321706771850586,9.267125129699707,8.588831901550293,10.0,0.0,0.732874870300293
8,1.0,6.877549648284912,4.0,2.877549648284912,2.15803861618042,-4.719511032104492,1.0,-3.0,1.15803861618042
9,0.0,-12.489645957946777,-6.0,6.489645957946777,1.277280569076538,-11.21236515045166,0.0,-6.0,1.277280569076538
10,0.0,-13.509621620178223,-7.0,6.509621620178223,2.3751375675201416,-11.13448429107666,0.0,-7.0,2.3751375675201416
11,1.0,-1.2660088539123535,6.0,7.2660088539123535,6.077956676483154,7.343965530395508,6.0,0.0,0.0779566764831543
12,1.0,17.973773956298828,15.0,2.973773956298828,12.58421802520752,-5.389556884765625,15.0,0.0,2.4157819747924805
13,1.0,-14.250079154968262,-7.0,7.250079154968262,-9.98544979095459,4.264629364013672,-6.0,1.0,3.98544979095459
14,1.0,32.580039978027344,20.0,12.580039978027344,21.832408905029297,-10.747631072998047,19.0,-1.0,2.832408905029297
15,0.0,-9.086442947387695,-4.0,5.086442947387695,4.573456764221191,-4.512986183166504,2.0,-2.0,2.5734567642211914
16,1.0,1.9376332759857178,3.0,1.0623667240142822,2.6823372840881348,0.744704008102417,3.0,0.0,0.31766271591186523
17,1.0,-15.174015045166016,-10.0,5.174015045166016,-10.499594688415527,4.6744208335876465,-10.0,0.0,0.49959468841552734
18,0.0,5.07493257522583,1.0,4.07493257522583,-1.9186795949935913,3.156252861022949,-1.0,-0.0,0.9186795949935913
19,0.0,-8.050601959228516,-4.0,4.050601959228516,-0.6459488868713379,-8.696550369262695,-2.0,-6.0,1.354051113128662
20,1.0,20.144502639770508,13.0,7.144502639770508,12.343728065490723,-7.800774574279785,12.0,-1.0,0.34372806549072266
21,0.0,-15.17126750946045,-6.0,9.17126750946045,6.784420967102051,-8.386846542358398,6.0,0.0,0.7844209671020508
22,0.0,11.965165138244629,6.0,5.965165138244629,-2.5593528747558594,9.40581226348877,-4.0,2.0,1.4406471252441406
23,0.0,7.38706636428833,2.0,5.38706636428833,3.231764316558838,10.618830680847168,2.0,4.0,1.231764316558838
24,1.0,3.43087100982666,0.0,3.43087100982666,3.1024434566497803,-0.32842758297920227,-0.0,-0.0,3.1024434566497803
25,0.0,-19.358991622924805,-10.0,9.358991622924805,13.796445846557617,-5.562545299530029,10.0,0.0,3.796445846557617
26,1.0,-1.630781650543213,-3.0,1.369218349456787,1.8841590881347656,3.5149407386779785,0.0,3.0,1.8841590881347656
27,1.0,2.6794238090515137,-2.0,4.679423809051514,8.096283912658691,5.416860103607178,2.0,4.0,6.096283912658691
28,0.0,-2.2932748794555664,-2.0,0.2932748794555664,-0.4040670692920685,-2.6973419189453125,-0.0,-2.0,0.4040670692920685
29,0.0,-12.507699012756348,-10.0,2.5076990127563477,11.531471252441406,-0.9762277007102966,10.0,0.0,1.5314712524414062
30,0.0,-10.899909019470215,-7.0,3.899909019470215,9.209147453308105,-1.6907618045806885,7.0,0.0,2.2091474533081055
31,1.0,25.095808029174805,12.0,13.095808029174805,17.0728702545166,-8.022937774658203,11.0,-1.0,6.072870254516602
32,0.0,-19.258773803710938,-11.0,8.258773803710938,15.252925872802734,-4.005847454071045,11.0,0.0,4.252925872802734
33,0.0,12.321760177612305,4.0,8.321760177612305,-11.133729934692383,1.18803071975708,-4.0,0.0,7.133729934692383
34,1.0,-26.2926025390625,-12.0,14.2926025390625,-17.09592056274414,9.19668197631836,-8.0,4.0,9.09592056274414
35,0.0,3.3434858322143555,4.0,0.6565141677856445,-4.331838607788086,-0.9883528351783752,-3.0,1.0,1.331838607788086
36,1.0,9.844243049621582,2.0,7.844243049621582,2.366379499435425,-7.477863311767578,0.0,-2.0,2.366379499435425
37,0.0,13.754515647888184,11.0,2.7545156478881836,-3.8038227558135986,9.950693130493164,-2.0,9.0,1.8038227558135986
