,Treatment,yf_true,yf_hat,diff_yf
0,0.0,0.0,0.29670876264572144,0.29670876264572144
1,0.0,0.0,0.5418125987052917,0.5418125987052917
2,0.0,0.0,0.10045941919088364,0.10045941919088364
3,0.0,0.0,0.13958881795406342,0.13958881795406342
4,0.0,0.0,0.11832580715417862,0.11832580715417862
5,0.0,0.0,0.2281184196472168,0.2281184196472168
6,0.0,1.0,0.6277756094932556,0.3722243905067444
7,0.0,0.0,0.14638763666152954,0.14638763666152954
8,0.0,0.0,0.450269490480423,0.450269490480423
9,0.0,1.0,0.26975974440574646,0.7302402257919312
10,0.0,0.0,0.16863983869552612,0.16863983869552612
11,0.0,0.0,0.1778830736875534,0.1778830736875534
12,0.0,0.0,0.30065837502479553,0.30065837502479553
13,0.0,0.0,0.6062123775482178,0.6062123775482178
14,0.0,0.0,0.5270363688468933,0.5270363688468933
15,0.0,0.0,0.13435083627700806,0.13435083627700806
16,0.0,0.0,0.26871031522750854,0.26871031522750854
17,0.0,0.0,0.2932727038860321,0.2932727038860321
18,0.0,1.0,0.5403396487236023,0.4596603512763977
19,0.0,1.0,0.11047825962305069,0.8895217180252075
20,0.0,1.0,0.35187238454818726,0.6481276154518127
21,0.0,0.0,0.2843511998653412,0.2843511998653412
22,0.0,0.0,0.24411870539188385,0.24411870539188385
23,0.0,0.0,0.2737810015678406,0.2737810015678406
24,0.0,1.0,0.469031423330307,0.5309685468673706
25,0.0,0.0,0.27869823575019836,0.27869823575019836
26,0.0,1.0,0.34111592173576355,0.6588840484619141
27,0.0,0.0,0.11412917822599411,0.11412917822599411
28,0.0,0.0,0.5432398915290833,0.5432398915290833
29,0.0,0.0,0.44951990246772766,0.44951990246772766
30,0.0,1.0,0.11412917822599411,0.8858708143234253
31,0.0,0.0,0.2236875742673874,0.2236875742673874
32,0.0,0.0,0.20103256404399872,0.20103256404399872
33,0.0,0.0,0.2599877119064331,0.2599877119064331
34,0.0,0.0,0.29349738359451294,0.29349738359451294
35,0.0,1.0,0.4234254062175751,0.5765745639801025
36,0.0,0.0,0.14554210007190704,0.14554210007190704
37,0.0,0.0,0.23035146296024323,0.23035146296024323
38,0.0,0.0,0.3108721971511841,0.3108721971511841
39,0.0,0.0,0.32811322808265686,0.32811322808265686
40,0.0,0.0,0.20109792053699493,0.20109792053699493
41,0.0,1.0,0.12840963900089264,0.8715903759002686
42,0.0,0.0,0.2631697952747345,0.2631697952747345
43,0.0,1.0,0.2877323627471924,0.7122676372528076
44,0.0,0.0,0.34448906779289246,0.34448906779289246
45,0.0,0.0,0.11412917822599411,0.11412917822599411
46,0.0,0.0,0.14851778745651245,0.14851778745651245
47,0.0,0.0,0.14101609587669373,0.14101609587669373
48,0.0,0.0,0.12308573722839355,0.12308573722839355
49,0.0,0.0,0.12308573722839355,0.12308573722839355
50,0.0,1.0,0.30948129296302795,0.6905187368392944
51,0.0,0.0,0.18124920129776,0.18124920129776
52,0.0,0.0,0.2764986455440521,0.2764986455440521
53,0.0,0.0,0.2214258909225464,0.2214258909225464
54,0.0,0.0,0.2214258909225464,0.2214258909225464
55,0.0,0.0,0.16471143066883087,0.16471143066883087
56,0.0,0.0,0.15768353641033173,0.15768353641033173
57,0.0,0.0,0.2998661398887634,0.2998661398887634
58,0.0,0.0,0.10045941919088364,0.10045941919088364
59,0.0,0.0,0.10045941919088364,0.10045941919088364
60,0.0,0.0,0.34078317880630493,0.34078317880630493
61,0.0,0.0,0.10045941919088364,0.10045941919088364
62,0.0,0.0,0.20109792053699493,0.20109792053699493
63,0.0,0.0,0.2316887527704239,0.2316887527704239
64,0.0,0.0,0.27576106786727905,0.27576106786727905
65,0.0,0.0,0.13435083627700806,0.13435083627700806
66,0.0,0.0,0.10045941919088364,0.10045941919088364
67,0.0,0.0,0.18853771686553955,0.18853771686553955
68,0.0,0.0,0.20103256404399872,0.20103256404399872
69,0.0,0.0,0.34448906779289246,0.34448906779289246
70,0.0,0.0,0.10481839627027512,0.10481839627027512
71,0.0,0.0,0.17697130143642426,0.17697130143642426
72,0.0,0.0,0.1442253291606903,0.1442253291606903
73,0.0,0.0,0.11768043786287308,0.11768043786287308
74,0.0,0.0,0.11768043786287308,0.11768043786287308
