,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.09100343781346168,0.1141170684618773,0.049636202408985725,0.08943148112522081
1,1,0.17296815598565735,0.14202087639673977,0.06966271466140544,0.08632162000199728
2,2,0.014476757764067053,0.12361094070454992,0.015405885296717159,0.08734760419942955
3,3,0.046408248049167336,0.1051134516908977,0.005769636225142621,0.09624677512499513
4,4,0.14184219276235926,0.08012693581629649,0.011157365594550411,0.09528534372815323
5,5,0.02264902093341306,0.11571956426513885,0.006431299201676885,0.09449612217065817
6,6,0.08889471349723559,0.10646494562688691,0.0009161124675074739,0.09586832924642763
7,7,0.032218735597465215,0.11122382995370184,0.06256764994253386,0.0904227607531215
8,8,0.006632459327285248,0.10403248746183269,0.02762968194929541,0.09414501758912952
9,9,0.03588225105413159,0.06716974570656875,0.0018598063084535321,0.09781093807963137
